,new_word
0,125
1,12세
2,130
3,140
4,151
5,152
6,153
7,154
8,155
9,156
10,157
11,158
12,159
13,160
14,161
15,162
16,163
17,164
18,165
19,166
20,167
21,168
22,169
23,170
24,171
25,172
26,173
27,174
28,175
29,176
30,177
31,178
32,179
33,180
34,181
35,182
36,183
37,184
38,185
39,186
40,187
41,188
42,189
43,190
44,191
45,192
46,193
47,194
48,195
49,196
50,197
51,198
52,199
53,200
54,2020년
55,2021년
56,4회
57,5회
58,6세
59,7회
60,8회
61,BCT
62,CPS
63,CSP
64,DC형
65,GB벨트
66,IDP
67,IRA
68,ISA
69,LPG
70,NCS
71,OPIC
72,SPC
73,TF
74,TI
75,개근
76,객실
77,경조화환
78,경축금
79,공단
80,공무원연금
81,과세표준
82,교직원
83,국어능력
84,군인연금
85,귀국
86,귀속연도
87,균형
88,근무평정
89,금융기관
90,급상여
91,기수령
92,기처리
93,기호품
94,난임
95,누진
96,다문화가정
97,대근원
98,대근자
99,대중교통
100,돌발
101,동결
102,동승
103,듣기
104,렌트
105,명함
106,무급
107,무모함
108,미수행
109,미적치
110,미취학
111,반사회성
112,발전사
113,범칙
114,벽지
115,변속
116,본관
117,본교
118,본압류
119,부적응성
120,분교
121,불원
122,비거치식
123,비버전
124,비사교성
125,비수익
126,비판성
127,사내기금
128,사사
129,사우회
130,상사평가
131,색각
132,선편
133,성문제
134,성실
135,성향
136,세무서
137,세차
138,소득공제
139,수상자
140,수습
141,수익자
142,스피킹
143,승급
144,승호
145,시간선택제
146,시험실
147,실습
148,실업크레딧
149,실적서
150,안분
151,양성평등
152,여행사
153,연평균
154,오버홀
155,우수인력
156,원룸
157,원처분
158,유연근무
159,음주운전
160,의무실
161,이혼
162,인당
163,인바스켓
164,인사노무
165,인적
166,일근
167,일본어
168,일비
169,일할
170,임대차계약
171,입국
172,입양
173,자기소개
174,장기요양
175,재대출
176,재입학
177,재전송자
178,저당권
179,전후
180,정현원
181,조약
182,종가
183,종피보험자
184,주식매수선택권
185,주인
186,주피보험자
187,중국어
188,중소기업핵심인력성과보상기금
189,지국
190,지도관찰표
191,직등호
192,직불카드
193,진료
194,창출
195,척도
196,청경
197,체크카드
198,체험형
199,초간고시
200,출국
201,출산휴가
202,출생지
203,출차
204,캠프
205,커트라인
206,코로나
207,쿼터
208,태도
209,통근
210,통상근무
211,퇴직연금
212,파업
213,펀드
214,피드백
215,피보험자
216,피평정자
217,학제
218,한국사
219,한부모가정
220,항공료
221,항공사
222,항공편명
223,해외파견
224,핵심인력
225,행복나눔회
226,헌혈
227,형평
228,화물
229,화학
230,환경원가
231,후임자
232,흥미
