,new_word
0,10년
1,30년
2,AP
3,CDS
4,CP
5,INF
6,META
7,NEO
8,RMS
9,공급사
10,공저자
11,과제 
12,국적
13,국정
14,기록건
15,기록관
16,기록관리
17,기록관리 
18,기록문서
19,기록물건
20,기조
21,다매체
22,담당업부(세부직무)
23,대결
24,대결자
25,대국민
26,대출자
27,동록
28,동륵
29,둥록
30,레벨5
31,레벨6
32,레벨7
33,레벨8
34,문서과
35,반입서
36,반입자
37,반출서
38,번역가
39,보임
40,보존기간
41,분권
42,비전자
43,상자
44,색채
45,생일
46,서고
47,설계사
48,소
49,소/실
50,소속기관
51,소속처실
52,수록
53,습득
54,시공사
55,시한
56,심의서
57,역대
58,열람일
59,원저자
60,의견 
61,이력 
62,인물
63,인사시스템
64,인화
65,일자리
66,작가
67,장면
68,재책성
69,재책정
70,재촬영
71,재편철
72,저작물
73,정수점검
74,진본성
75,창출
76,책정
77,처실
78,철
79,첨브파일
80,촬영자
81,출반사
82,출판
83,출판서
84,컴포넌트
85,편저자
86,편철
87,표제
88,행정박물
89,환경영향평가
90,훼손
